"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000032366",529.179737819995,1.26955198558432,0.191324996266646,6.34411063688549e-12,7.38465322767038e-10
"ENSMUSG00000068762",42.4068036725626,2.36525828612863,0.363975878702288,7.25711521053041e-12,8.37581797052658e-10
"ENSMUSG00000000202",22.0911116270067,9.92467405016067,2.79516971629411,7.60163808416638e-12,8.69972345111444e-10
"ENSMUSG00000027309",88.1801429430139,1.79260841844072,0.273260703520504,8.04165094356072e-12,9.12660368336279e-10
"ENSMUSG00000021493",311.050779680462,1.80398429716837,0.27763457318545,8.32099656253357e-12,9.36559108968138e-10
"ENSMUSG00000027993",100.535189334843,-2.13508127316066,0.325434795361908,8.74053066316209e-12,9.75715468045938e-10
"ENSMUSG00000041920",314.027329730164,1.56123811022328,0.236202392579342,8.98342220755984e-12,9.94676642640305e-10
"ENSMUSG00000027500",790.689196976741,-2.48162511341115,0.380007760836784,9.23088570033511e-12,1.01383413187793e-09
"ENSMUSG00000038733",743.804860775972,1.62516026596854,0.249598231952218,1.12669595747208e-11,1.22755777958499e-09
"ENSMUSG00000099759",151.101847330068,-1.75571138548719,0.274898680380676,1.25858978213063e-11,1.3603757335585e-09
"ENSMUSG00000032109",83.1815957382483,2.16822484056835,0.34043305299317,1.37321202955055e-11,1.47258067956291e-09
"ENSMUSG00000028885",118.689861720973,-2.24120907163802,0.353973115587103,1.42770664335954e-11,1.51905756061825e-09
"ENSMUSG00000063672",82.2952512019478,-2.70515356809011,0.428359478131503,1.46684234740356e-11,1.54859890924721e-09
"ENSMUSG00000040158",91.7688265908616,1.74061293789834,0.271357568886685,1.51545549875429e-11,1.58761449519497e-09
"ENSMUSG00000028923",314.000542846153,1.79004880189609,0.278746466822745,1.59246713745841e-11,1.65555801107222e-09
"ENSMUSG00000092060",64.997474159127,2.45491778849056,0.384347018577679,1.71629257680341e-11,1.77077186390043e-09
"ENSMUSG00000068245",206.796849222715,-1.98997548634823,0.303343520018125,1.83271668516989e-11,1.87667432596457e-09
"ENSMUSG00000037235",62.9433293327736,2.14458559890545,0.335154922368001,2.01620039498492e-11,2.04915172979848e-09
"ENSMUSG00000060675",39.3243845520257,3.43053251593461,0.531273189666927,2.05996414513029e-11,2.07812234759477e-09
"ENSMUSG00000028378",923.088751323993,-2.00296410474622,0.312606064578859,2.10362241639315e-11,2.10656130065135e-09
"ENSMUSG00000027952",895.992983706977,2.02865564702529,0.320660273154087,2.41886059233105e-11,2.40455929977785e-09
"ENSMUSG00000039814",108.087835862808,-2.95711765344986,0.452187032054462,2.61412801546557e-11,2.56128125486515e-09
"ENSMUSG00000097391",121.350885476606,-9.50115483900048,2.9395428446497,2.60715664456998e-11,2.56128125486515e-09
"ENSMUSG00000036667",36.1176360522338,3.67377246007235,0.577029482438306,2.91926192266873e-11,2.83981629463039e-09
"ENSMUSG00000028161",390.334156715308,1.69358075757875,0.266428057500598,3.31693379511728e-11,3.20378165643278e-09
"ENSMUSG00000001999",83.9916799672696,1.84321895553827,0.290845898004389,3.59151003270511e-11,3.44456162925429e-09
"ENSMUSG00000037492",73.4499292707944,-2.42646777084906,0.393507990038731,4.19773440822683e-11,3.9978283150798e-09
"ENSMUSG00000031548",103.445547062144,-2.13619910280021,0.342604338154753,4.26215576551577e-11,4.03099301184439e-09
"ENSMUSG00000013698",146.228692464439,2.69927852057425,0.440309787252906,4.34968904375212e-11,4.08540793702484e-09
"ENSMUSG00000053522",46.9860676301815,4.42326111107001,0.73587147923594,4.38891324022753e-11,4.09401434374375e-09
"ENSMUSG00000055401",120.107433434542,1.91083127259744,0.301317540489545,4.56543068157436e-11,4.22970071104498e-09
"ENSMUSG00000011256",215.582999438762,-1.98139564813542,0.323069580813541,5.2714189318506e-11,4.84131429654875e-09
"ENSMUSG00000054065",208.05988111022,2.86857514798879,0.46875007399916,5.29668720306750e-11,4.84131429654875e-09
"ENSMUSG00000024008",74.1295401956641,2.30327834464261,0.37797978772555,7.02739466721292e-11,6.38040586485152e-09
"ENSMUSG00000030041",253.065163756644,1.84425951792428,0.299754862644396,7.90375885099737e-11,7.0938530505504e-09
"ENSMUSG00000032245",66.479578409984,2.60016170094854,0.428298902386726,7.91736297586945e-11,7.0938530505504e-09
"ENSMUSG00000019823",79.5757826794714,2.19178287601491,0.354937258024836,8.6381661100074e-11,7.68909700994711e-09
"ENSMUSG00000033863",1963.17402035818,-2.14970993584474,0.35076338356068,9.07686315636937e-11,8.02712982640224e-09
"ENSMUSG00000034248",114.929623432143,1.73353915845951,0.2836472163709,9.51715553954318e-11,8.36220266406701e-09
"ENSMUSG00000046323",107.500927757491,-3.42717998139568,0.573439095078085,9.86578635795836e-11,8.61295797493813e-09
"ENSMUSG00000006390",232.396692861562,2.16020736936025,0.35509766367498,1.03217172959022e-10,8.95359667852816e-09
"ENSMUSG00000031958",53.7434072345174,-3.38638098298715,0.544801073762157,1.15997218974046e-10,9.99851977979448e-09
"ENSMUSG00000039682",1074.66425942848,-2.01252985156507,0.329364761367817,1.40686260814651e-10,1.20503533712876e-08
"ENSMUSG00000028530",332.851591272281,1.53892978450844,0.250028271662631,1.42399505497392e-10,1.21208679085562e-08
"ENSMUSG00000072082",525.104925962772,-1.27938482271961,0.207553301928906,1.45815060248336e-10,1.23345050032428e-08
"ENSMUSG00000028082",58.911811232144,2.03647047582227,0.334457179827785,1.59868613561339e-10,1.34398188153819e-08
"ENSMUSG00000029814",748.149897717715,-1.50039324101951,0.248207862681094,1.7310333331303e-10,1.44631551925776e-08
"ENSMUSG00000028532",109.538843008874,-2.47314809279975,0.432066723819156,1.84192761714518e-10,1.52958611084757e-08
"ENSMUSG00000003865",150.378611493087,1.74239840238771,0.286724884464815,1.91113211927579e-10,1.57743686863133e-08
"ENSMUSG00000037169",675.535412680557,-2.87340403645015,0.474382368801445,2.1898036819286e-10,1.79656243037263e-08
"ENSMUSG00000068747",69.9841889687253,2.19615086213819,0.365575533221622,2.30808202239061e-10,1.88226162053519e-08
"ENSMUSG00000029761",145.386446448425,1.71756178851302,0.28450695257399,2.5831956252606e-10,2.09407983454906e-08
"ENSMUSG00000036022",318.10389782468,1.26293104782917,0.208185909393272,2.75909055198563e-10,2.22343516139008e-08
"ENSMUSG00000028278",206.091588554344,-2.51995386250293,0.422091032841504,2.80971794381022e-10,2.23775138460534e-08
"ENSMUSG00000039959",190.35228061932,1.6966199034562,0.283511105942132,2.79424893348804e-10,2.23775138460534e-08
"ENSMUSG00000018340",378.794922613204,1.93978883783028,0.327698463695422,3.01329494370403e-10,2.37214241839914e-08
"ENSMUSG00000027797",15.7183336168682,4.93030076855487,0.807388890603222,3.0118395579456e-10,2.37214241839914e-08
"ENSMUSG00000019873",248.730791891223,1.11416379719201,0.183667450348988,3.57622066752429e-10,2.79911202706973e-08
"ENSMUSG00000035186",95.1151049458898,-3.88329874274174,0.715872081797245,3.93100925576598e-10,3.04184176444755e-08
"ENSMUSG00000036553",47.6169397451396,2.07197110057587,0.350721037729764,3.91912377526577e-10,3.04184176444755e-08
"ENSMUSG00000030060",1329.55997383523,-1.89609694962391,0.321677500943966,3.99140206317792e-10,3.07112455923277e-08
"ENSMUSG00000032590",184.890296198911,1.65114268210812,0.275492191521217,4.23104502371638e-10,3.23649939994573e-08
"ENSMUSG00000116875",348.489636571474,0.104222284701539,0.710920638336686,4.25386146259112e-10,3.23649939994573e-08
"ENSMUSG00000037239",25.3506747092832,3.8511702225654,0.678943037376004,4.4193552373899e-10,3.34373327655628e-08
"ENSMUSG00000032712",1094.60491911563,-0.918981931112,0.15194826461738,4.85913033328737e-10,3.65616000049949e-08
"ENSMUSG00000029364",235.963585392441,1.20718399895265,0.202377056525882,5.00635055505085e-10,3.74623561589217e-08
"ENSMUSG00000021097",72.157740162413,2.05799168750357,0.350049493535682,5.10964570085021e-10,3.80263742075842e-08
